ID;Municipio;Departamento;Norte;Este
ABCC;Bogotá D.C.;Bogotá D.C.;2073161.202;4875055.758
ABPD;Bogotá D.C.;Bogotá D.C.;2052748.088;4878135.379
ABPW;La Calera;Cundinamarca;2076270.508;4889675.537
ACDZ;Agustín Codazzi;Cesar;2666236.52;4995015.415
AEBS;Neiva;Huila;1884891.709;4745355.188
AECH;Chaparral;Tolima;1969989.907;4726199.022
AECT;Cartago;Valle del Cauca;2085383.253;4672392.716
AEDO;Bogotá D.C.;Bogotá D.C.;2076168.865;4873745.024
AEFO;Florencia;Caquetá;1733781.223;4715026.255
AEGU;Bogotá D.C.;Bogotá D.C.;2089551.693;4882770.157
AEMO;Mompox;Bolívar;2581883.086;4842351.149
AEMT;Pereira;Risaralda;2090431.301;4695945.53
AEP1;Planadas;Tolima;1912005.351;4706579.262
AEPA;Palmira;Valle del Cauca;1949066.758;4624260.921
AESI;Santa Marta;Magdalena;2786257.99;4865623.315
AGAB;Aracataca;Magdalena;2727911.945;4869935.731
AGCA;Aguachica;Cesar;2476858.129;4934461.826
AGTU;Tunja;Boyacá;2167950.374;4958624.116
AJCM;Mariquita;Tolima;2134053.802;4791203.905
ALBE;San Alberto;Cesar;2415549.084;4957076.652
ALPA;Riohacha;La Guajira;2831900.9;5008964.649
ANCH;Dagua;Valle del Cauca;1949480.909;4570009.362
ANDS;San Andrés;"Archipiélago De San Andrés; Providencia Y Santa";2964659.681;4051996.975
APTO;Apartadó;Antioquia;2430230.08;4599495.502
AQTA;Arauquita;Arauca;2334551.215;5175901.183
ARCA;Arauca;Arauca;2341398.893;5247490.134
ARGL;Argelia;Cauca;1811591.546;4528277.174
ASVI;Flandes;Tolima;2030335.3;4800718.707
BA3E;Solano;Caquetá;1640145.624;4751460.113
BAAP;Villavicencio;Meta;2007954.702;4938530.473
BACO;Coveñas;Sucre;2598113.555;4704468.44
BAME;Melgar;Tolima;2026206.688;4826365.684
BAPA;Puerto Salgar;Cundinamarca;2162282.377;4816442.153
BASO;Bahía Solano;Chocó;2245434.058;4513712.24
BECE;Becerril;Cesar;2630108.852;4969378.858
BEJA;Barrancabermeja;Santander;2338280.136;4903337.629
BERR;Puerto Berrio;Antioquia;2275646.908;4844114.697
BNGA;Bucaramanga;Santander;2343081.159;4986341.061
BOBG;Ocaña;Norte de Santander;2476539.097;4960644.027
BOGA;Bogotá D.C.;Bogotá D.C.;2070660.719;4880260.538
BOGT;Bogotá D.C.;Bogotá D.C.;2070814.73;4880150.983
BOSC;Bosconia;Cesar;2659490.631;4902898.869
BQLA;Barranquilla;Atlántico;2776344.299;4797999.775
BUEN;Buenaventura;Valle del Cauca;1988021.475;4554572.977
BUGT;Buenaventura;Valle del Cauca;1981773.808;4556170.308
CALI;Cali;Valle del Cauca;1931743.786;4607499.915
CAN0;Puerto Carreño;Vichada;2244634.136;5611145.158
CAPI;Yopal;Casanare;2149352.748;5063376.246
